Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Jun 00;;55,62;1377,72;8384,32;1509,37;1420,6;7117,57;4,29;;8,5;;;;;;;;;;118,1
Jul 00;;53,61;1337,65;8174,81;1564,38;1454,6;6912,97;3,99;;9,63;;;;;;;;;;130,37
Aug 00;;55,8;1379,87;8038,43;1530,33;1430,83;7194,03;4,43;;6,56;;;;;;;;;;156,13
Sep 00;;60,39;1305,25;8624,81;1602,31;1517,68;7221,41;5,06;;6,5;;;;;;;;;;143,37
Okt 00;;59,81;1282,14;7650,64;1501,25;1436,52;6800,07;5,02;;5,13;;;;;;;;;;105
Nov 00;315;61,34;1203,05;7350,59;1475,55;1429,4;7093,84;5,52;;3,94;;;;;;;;;;112,77
Dez 00;306;51,48;1221,25;7318,8;1569,06;1314,95;6379,26;8,91;;3,25;;;;;;;;;;135,33
Jan 01;301;52,31;1244,22;6975,91;1619,88;1320,28;6431,14;8,17;;2,38;;;;;;;;;;137,66
Feb 01;297;53,42;1137,88;6546,8;1607,03;1366,01;6788,57;5,55;;3,45;;;;;;;;;;160,72
Mrz. 01;293;49,94;1061,26;6165,18;1512,17;1239,94;6212,66;5,18;;3,44;;;;;;;;;;149,49
Apr 01;282;51,03;1138,09;6363,11;1499,48;1160,33;5843,37;5,18;;2,81;;;;;;;;;;140,29
Mai 01;283;53,78;1121,09;7086,48;1542,39;1249,46;6272,03;4,2;;2,8;;;;;;;;;;123,18
Jun 01;279;52,81;1084,79;6674,33;1470,83;1255,82;6122,96;3,73;;3,44;;;;;;;;;;125,43
Jul 01;276;48,7;1069,67;5962,55;1418,62;1224,42;6053,81;3,11;;3,36;;;;;;;;;;133,23
Aug 01;279;50,1;1016,73;5525,64;1377,85;1211,23;5859,68;2,95;;3,3;;;;;;;;;;167,06
Sep 01;282;48,52;926,02;5057,65;1346;1133,58;5195,67;2,19;;2,05;;;;;;;;;;166,88
Okt 01;279;41,25;943,2;4830,78;1283,53;1040,94;4315,06;2,47;;1,69;;;;;;;;;;118,34
Nov 01;275;37,44;997,93;5131,32;1334,45;1059,78;4556,71;2,36;;0,9;;;;;;;;;;119,09
