Date,Carbon.Steel.World.Price,Fuel.Energy.Index,MSCI.World,Nickel,Aluminium,SandP500,Dax30,Natural.gas,Arca.Steel.Index,ArcelorMittal,Hang.Seng.China,Lead,China.Steel,Iron.ore,Metal.Index,Gold,Crude.Oil,ThyssenKrupp,Capesize.Charter.Rates,Car.production.China
01.02.1997,NA,40.58,837.44,7736.58,1582.05,786.16,3034.3,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.03.1997,NA,38.46,819.68,7893.21,1631.18,790.82,3264.5,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.04.1997,NA,36.07,845.28,7313.14,1561.11,757.12,3336.1,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.05.1997,NA,38.55,896.24,7476,1625.45,801.34,3448.7,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.06.1997,NA,36.14,939.75,7060,1567.19,848.28,3551,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.07.1997,NA,36.62,981.84,6832.74,1591.59,885.14,3782.7,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.08.1997,NA,37.36,914.97,6764.45,1710.03,954.29,4422.2,2.44,NA,29.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.09.1997,NA,37.43,963.49,6498.29,1611.62,899.47,3942.5,2.85,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.1997,NA,39.56,911.57,6373.48,1607.33,947.28,4154.6,3.06,NA,28.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.11.1997,NA,37.81,926.5,6137.25,1598.32,914.62,3802.7,2.93,NA,25.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.12.1997,NA,34.39,936.59,5942.38,1530.52,955.4,4000,2.33,NA,23.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.01.1998,NA,30.75,961.49,5489,1485.47,970.43,4270.7,2.11,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.02.1998,NA,29.28,1025.3,5367.25,1465.18,980.28,4481,2.21,NA,21.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.03.1998,NA,27.61,1067.35,5397.05,1438.32,1049.34,4696.5,2.22,NA,24.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.04.1998,NA,27.7,1076.53,5391,1417.55,1101.75,5084.1,2.45,NA,28.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.05.1998,NA,28.55,1061.79,5016.84,1364.32,1111.75,5251.41,2.15,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.06.1998,NA,26.16,1085.74,4456.9,1305.52,1090.82,5569.89,2.15,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.07.1998,NA,26.37,1082.74,4332.62,1312.67,1133.84,5863.25,2.19,NA,18.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.5
01.08.1998,NA,25.66,937.09,4078,1310.55,1120.67,5811.42,1.86,NA,15.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.6
01.09.1998,NA,27.87,952.39,4100.91,1341.89,957.28,4727.35,1.96,NA,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.7
01.10.1998,NA,26.79,1037.21,3870.45,1303.7,1017.01,4389.21,1.93,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8
01.11.1998,NA,24.57,1097.62,4117.25,1295.3,1098.67,4722.84,2.1,NA,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.9
01.12.1998,NA,22.08,1149.95,3865.76,1250.39,1163.63,4986.81,1.72,NA,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
01.01.1999,NA,23.44,1173.84,4264,1219.4,1229.23,4991.95,1.85,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.11
01.02.1999,NA,22.47,1141.33,4623.25,1186.48,1279.64,5193.03,1.78,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.3
01.03.1999,NA,25.81,1187.54,5002.95,1179.86,1238.33,4923.31,1.77,NA,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.81
01.04.1999,NA,30.44,1233.06,5054.75,1277.85,1286.37,4852.39,2.11,NA,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.02
01.05.1999,NA,31.26,1186.7,5395.79,1323.13,1335.18,5372.68,2.26,NA,12.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.62
01.06.1999,NA,31.54,1240.75,5194.77,1315.52,1301.84,5083.62,2.31,NA,12.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5
01.07.1999,NA,35.58,1235.7,5696.36,1403.36,1372.71,5428.34,2.3,NA,11.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.03
01.08.1999,NA,38.19,1232.16,6431.43,1421.69,1328.72,5088.65,2.79,NA,11.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.76
01.09.1999,NA,41.7,1218.9,7029.09,1492.07,1320.41,5286.58,2.6,NA,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.99
01.10.1999,NA,41.81,1280.94,7317.62,1473.33,1282.71,5166.57,2.69,NA,10.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.74
01.11.1999,NA,44.95,1315.68,7946.82,1472.43,1362.93,5518.74,2.33,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.03
01.12.1999,NA,46.25,1420.89,8073.24,1554.74,1388.91,5891.27,2.35,NA,14.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.93
01.01.2000,NA,47.46,1338.25,8315.25,1679.85,1469.25,6961.72,2.4,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.67
01.02.2000,NA,50.64,1340.58,9583.75,1679.43,1394.46,6841.12,2.66,NA,15.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.39
01.03.2000,NA,51.39,1431.94,10255.4,1579.64,1366.42,7645.3,2.78,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.54
01.04.2000,NA,45.3,1370.11,9746.5,1458.75,1498.58,7599.78,3.04,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.07
01.05.2000,NA,51.36,1334.14,10122.91,1468.07,1452.43,7407.53,3.59,NA,11.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.24
01.06.2000,NA,55.62,1377.72,8384.32,1509.37,1420.6,7117.57,4.29,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.1
01.07.2000,NA,53.61,1337.65,8174.81,1564.38,1454.6,6912.97,3.99,NA,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.37
01.08.2000,NA,55.8,1379.87,8038.43,1530.33,1430.83,7194.03,4.43,NA,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.13
01.09.2000,NA,60.39,1305.25,8624.81,1602.31,1517.68,7221.41,5.06,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.37
01.10.2000,NA,59.81,1282.14,7650.64,1501.25,1436.52,6800.07,5.02,NA,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
01.11.2000,315,61.34,1203.05,7350.59,1475.55,1429.4,7093.84,5.52,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.77
01.12.2000,306,51.48,1221.25,7318.8,1569.06,1314.95,6379.26,8.91,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.33
01.01.2001,301,52.31,1244.22,6975.91,1619.88,1320.28,6431.14,8.17,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.66
01.02.2001,297,53.42,1137.88,6546.8,1607.03,1366.01,6788.57,5.55,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.72
01.03.2001,293,49.94,1061.26,6165.18,1512.17,1239.94,6212.66,5.18,NA,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.49
01.04.2001,282,51.03,1138.09,6363.11,1499.48,1160.33,5843.37,5.18,NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.29
01.05.2001,283,53.78,1121.09,7086.48,1542.39,1249.46,6272.03,4.2,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.18
01.06.2001,279,52.81,1084.79,6674.33,1470.83,1255.82,6122.96,3.73,NA,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.43
01.07.2001,276,48.7,1069.67,5962.55,1418.62,1224.42,6053.81,3.11,NA,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.23
01.08.2001,279,50.1,1016.73,5525.64,1377.85,1211.23,5859.68,2.95,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.06
01.09.2001,282,48.52,926.02,5057.65,1346,1133.58,5195.67,2.19,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.88
01.10.2001,279,41.25,943.2,4830.78,1283.53,1040.94,4315.06,2.47,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.34
01.11.2001,275,37.44,997.93,5131.32,1334.45,1059.78,4556.71,2.36,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.09
01.12.2001,276,36.92,1003.52,5315.82,1348.72,1139.45,4986.58,2.42,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,11600,136.69
01.01.2002,268,37.58,972.42,6061.36,1371.36,1148.08,5155.26,2.26,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,11550,145.34
